burnham park|-74.4966539 40.798698
tandem trailer area|-74.1791694 41.1438199
north hudson park|-74.0006824 40.803029
delaney field|-74.3956391 40.8623808
fairview cemetery|-74.0063135 40.8149129
one blue hill plaza|-74.0067113 41.048771
seasonal parking|-74.0241349 41.2903411
blue hill golf course|-73.992608 41.0490567
minisceongo golf club|-74.0468271 41.1715221
berdan grove|-74.1111663 40.9356726
radburn a park|-74.1166622 40.9430212
radburn b park|-74.1186033 40.9448838
radburn plaza building|-74.1197285 40.9399713
phelps park|-74.0275321 40.8957979
foschini park|-74.0367033 40.8853424
oak ridge park|-74.1653487 40.8606511
community park|-74.4667142 40.8325368
edgemont memorial park|-74.2127067 40.8307117
petruska park|-74.0592148 40.9512087
upper montclair country club|-74.1744598 40.8440193
glenfield park|-74.2110144 40.8042507
schmidts wood|-74.0505919 40.800109
harrison complex|-74.2906134 40.8225021
demuro park|-74.1756883 40.813827
volunteers park|-74.378704 40.8756624
monsignor owens park|-74.1427985 40.8098338
veterans memorial park|-74.410953 40.8652438
crestmont country club|-74.2759413 40.8074659
centennial field|-74.0323954 41.0156934
west side park|-74.1889178 40.9133381
eagle rock reservation|-74.23849 40.8109948
veterans memorial park|-74.1365026 40.8493022
memorial field|-74.0363282 40.9537714
parsippany hills high school|-74.4575549 40.8626496
sussex avenue elementary school|-74.4898942 40.810122
littleton elementary school|-74.4605679 40.8589838
schmidts wood park|-74.0486019 40.8001648
albion memorial park|-74.1727389 40.888702
liberty park|-74.2607456 40.8616297
malapardis park|-74.4516905 40.8302173
brookdale park|-74.1890962 40.8341074
brookdale park|-74.0961501 40.9228473
mount tabor golf course|-74.4733479 40.8723327
lyndhurst municipal park|-74.1234368 40.8136897
memorial park|-74.0630449 40.9117424
wilde memorial park|-74.1278772 40.9597419
laurelwood arboretum|-74.267064 40.9872634
terhune memorial park at sunnybank|-74.2750706 41.0007205
roberts garden|-74.4859787 40.8287926
latteri park|-74.1485112 40.8454785
preakness hills country club|-74.2358376 40.9460927
main memorial park|-74.1496239 40.8819026
hackensack golf club|-74.037295 40.9707644
grover cleveland park|-74.2839237 40.834617
waldwick high school|-74.1325758 41.0118969
bergen county park south|-74.136783 40.8034807
hurrell field|-74.2049908 40.803185
eastside park|-74.1361494 40.916261
amman park|-74.0153715 40.8702267
milton voltee park|-74.009696 40.8983126
essex park|-74.2076291 40.8221675
mills reservation|-74.2112031 40.8526566
robin hood park|-74.1737351 40.8676841
lake parsippany park|-74.4464609 40.8497378
johnson park|-74.0363303 40.8938518
green field|-74.4342145 40.8006592
hills of troy park|-74.4339483 40.8694759
weasel brook park|-74.1471881 40.8696551
belmont hill park|-74.110439 40.8786292
nash park|-74.1318664 40.883233
veterans memorial park|-74.0382195 40.9351864
elks camp moore|-74.3020383 41.0142659
ridgewood auto wash|-74.1249244 40.9718678
richardson scale park|-74.1493489 40.8598607
sperling park|-74.1553119 40.8601336
ramsey golf and country club|-74.1375593 41.0475232
black meadows preserve|-74.4293362 40.8024996
egan field|-74.2906083 40.8300862
north cove park|-74.2556154 40.9093022
grace lord park|-74.4146338 40.905047
nichols park|-74.1574685 40.8311283
ramsey golf and country club|-74.1338164 41.0503361
camp dawson park|-74.3440385 40.9418137
new bridge landing|-74.0308271 40.9137206
creative gardens|-74.0909012 41.0634714
sunset valley golf course|-74.3272563 40.9634191
columbia terrace park|-74.1399237 40.9492213
willowbrook golf center|-74.2472269 40.8928729
cedar grove community park|-74.2265832 40.8583143
west essex industriial park|-74.3007824 40.8574823
mount prospect park|-74.1593263 40.8546571
black meadows preserve|-74.4095295 40.8024139
golf  driving range|-74.282352 40.9647145
hess field|-74.0930318 41.0692784
lions park|-74.095219 41.0613081
mountain ridge country club|-74.295012 40.8625745
rutherford memorial park|-74.1192399 40.8437951
rindlaub park|-74.0984525 41.0292387
bee meadow park|-74.412654 40.83464
bergen county equestrian center|-73.9986065 40.8627306
garret mountain reservation|-74.1789939 40.9002952
karl bauer horse training center|-74.2961705 40.9756851
wyckoff ymca|-74.1753822 41.0156064
rockaway river country club|-74.4621132 40.8991309
greenview park|-74.3095561 40.9451552
irene habernickel family park|-74.128035 41.0052536
upper ridgewood tennis club|-74.1194781 41.005308
knollcroft park|-74.1653942 40.8421165
allwood park|-74.1673533 40.8446041
borgs woods|-74.0534991 40.905071
hackensack river county park|-74.0274716 40.9079736
tuers park|-74.1884268 40.845648
lions gate park|-74.1900874 40.8169267
bond force memorial park|-74.307342 40.8215469
essex family golf center|-74.3294328 40.8279326
dundee island park|-74.123765 40.8813196
peckman preserve|-74.2216091 40.8761488
manchester park|-74.3523719 40.8718259
foley field|-74.1913243 40.8033474
mennen sports arena|-74.4752256 40.8154721
forest hills field club|-74.1784017 40.8017054
restland memorial park|-74.3678459 40.8163301
pompton reformed church cemetery|-74.2960125 41.0005796
pinchbrook golf course|-74.3863988 40.7959475
bnos israel girls high school|-74.0707072 41.1269064
back beach park|-74.2852742 41.0354627
thunder mountain shooting range|-74.2338029 41.1321963
haworth country club|-74.0041906 40.9642986
hawks baseball field|-74.0918508 41.1317471
hawks soccer field|-74.0902668 41.1316185
brucker hall|-74.0852426 41.1332976
wyckoff reformed church cemetery|-74.1727787 41.0076298
beth israel cemetery|-74.4462774 40.8271672
hanover central park|-74.4378149 40.8198863
mount moriah cemetery|-74.0029819 40.8223415
arcola country club|-74.082924 40.9278552
denville recycling center|-74.4825088 40.9028771
rockaway valley aerodrome fields|-74.4284098 40.9334059
saint josephs roman catholic cemetery|-74.3911672 41.0436597
willis park|-74.0064755 40.8421519
black brook park|-74.3972387 40.8223772
masar park|-74.3987761 40.9345368
vail memorial cemetery|-74.4059639 40.8661904
laurel hill cemetery|-74.2059784 40.8999949
addice park|-74.2821339 41.0570205
cooper park|-74.002265 40.9306243
parking deck|-74.0913898 40.9510884
pitkin education center|-74.0885312 40.9517121
west hall|-74.0902742 40.9521069
technology building|-74.0871334 40.9503188
buehler challenger  science center|-74.0853723 40.9483279
orchard hills golf course|-74.0885716 40.953046
bergen community college|-74.0882126 40.9500879
paramus golf course|-74.0884954 40.9458245
the ridgewood country club|-74.0782039 40.9427403
ramapo manor center for rehabilitation and nursing|-74.1256075 41.1021466
paramus park|-74.068784 40.9566506
park  ride|-74.0970125 40.9913017
bergen toll plaza|-74.097522 40.908432
saddle brook toll exit|-74.1002654 40.905459
burlington|-74.1407658 40.8300688
applebees|-74.1393123 40.8282522
chevys|-74.1393041 40.8276696
boiling springs savings bank|-74.1387219 40.8255547
amc clifton commons|-74.140226 40.8289196
staples|-74.1390097 40.8267338
stop  shop|-74.1398341 40.8272658
target|-74.1351474 40.824472
spuntinos wine bar and italian tapias|-74.1376596 40.8256501
party city|-74.1389249 40.8289556
barnes  noble|-74.1386567 40.8292096
wells fargo|-74.1423813 40.8303895
kohls|-74.142982 40.8295493
yesterdays bar and grille|-74.1431108 40.8300592
dicks sporting goods|-74.0677679 40.9349147
holiday inn express ramsey mahwah|-74.1293647 41.0654443
dunkin donuts|-74.1290435 41.0650319
chilis|-74.1278617 41.0649063
mavis discount tire|-74.1274343 41.064638
mcdonalds|-74.1270476 41.0642305
exxon|-74.1264134 41.0638246
ramsey outdoor store|-74.1276819 41.0633287
liberty kia|-74.126891 41.0629714
urban auto spa|-74.1265034 41.0627678
dunkin donuts|-74.1261082 41.0626191
ramsey subaru|-74.129654 41.0641787
mini of ramsey|-74.1303982 41.0644821
majestic diner|-74.133764 41.0667189
prestige lexus of ramsey|-74.1321469 41.0671807
